appid,name,release_date,price,tags,total_reviews,review_source,cohort
347800,Ghost Song,2022-11-03,19.99,"[""Metroidvania"", ""Sci-fi"", ""2D"", ""Action"", ""Atmospheric"", ""Platformer"", ""Indie"", ""Singleplayer"", ""Adventure"", ""Side Scroller"", ""Dark"", ""Hand-drawn"", ""2D Platformer"", ""Action-Adventure"", ""Controller"", ""Horror"", ""Difficult"", ""Robots"", ""Female Protagonist"", ""Post-apocalyptic""]",1446,appreviews,B
496240,Onward,2025-03-25,24.99,"[""VR"", ""Shooter"", ""FPS"", ""Military"", ""Realistic"", ""Multiplayer"", ""Simulation"", ""Action"", ""Violent"", ""Indie"", ""Tactical"", ""War"", ""First-Person"", ""Singleplayer"", ""Early Access"", ""Online Co-Op"", ""PvP"", ""e-sports"", ""Modern"", ""Class-Based""]",9302,appreviews,A
553850,HELLDIVERS 2,2024-02-08,39.99,"[""Online Co-Op"", ""PvE"", ""Third-Person Shooter"", ""Multiplayer"", ""Action"", ""Shooter"", ""Co-op"", ""Sci-fi"", ""Capitalism"", ""Space"", ""Extraction Shooter"", ""Third Person"", ""Comedy"", ""Gore"", ""Violent"", ""Great Soundtrack"", ""Difficult"", ""Psychological Horror"", ""Singleplayer"", ""Open World""]",1151283,appreviews,A
611790,House Party,2022-07-15,24.99,"[""Nudity"", ""Mature"", ""NSFW"", ""Simulation"", ""Sandbox"", ""Choices Matter"", ""Story Rich"", ""Adventure"", ""Comedy"", ""Sexual Content"", ""Multiple Endings"", ""3D"", ""Puzzle"", ""Cinematic"", ""Drama"", ""Choose Your Own Adventure"", ""Life Sim"", ""LGBTQ+"", ""Female Protagonist"", ""Singleplayer""]",15376,appreviews,B
756800,Contraband Police,2023-03-08,29.99,"[""Open World"", ""Simulation"", ""First-Person"", ""Singleplayer"", ""Action"", ""Realistic"", ""Multiple Endings"", ""1980s"", ""Automobile Sim"", ""FPS"", ""Story Rich"", ""Management"", ""Detective"", ""Survival"", ""Immersive Sim"", ""Action-Adventure"", ""Physics"", ""Destruction"", ""Atmospheric"", ""Indie""]",25270,appreviews,B
843810,A Perfect Day,2022-02-24,19.99,"[""Atmospheric"", ""Narration"", ""Adventure"", ""Choices Matter"", ""Singleplayer"", ""Multiple Endings"", ""Puzzle"", ""Story Rich"", ""Emotional"", ""Investigation"", ""Interactive Fiction"", ""Time Travel"", ""Exploration"", ""Drama"", ""Time Management"", ""Nostalgia"", ""1990's"", ""Retro"", ""Indie"", ""Hand-drawn""]",1823,appreviews,B
850190,Goat Simulator 3,2024-02-15,29.99,"[""Exploration"", ""Physics"", ""Sandbox"", ""Open World"", ""Character Customization"", ""Simulation"", ""3D"", ""Casual"", ""Action-Adventure"", ""Comedy"", ""Cartoony"", ""Adventure"", ""Colorful"", ""Multiplayer"", ""Family Friendly"", ""Co-op"", ""Local Co-Op"", ""Online Co-Op"", ""Singleplayer"", ""Funny""]",15585,appreviews,A
881020,Granblue Fantasy: Relink,2024-01-31,39.99,"[""Anime"", ""JRPG"", ""Action RPG"", ""Action"", ""Online Co-Op"", ""Multiplayer"", ""Fantasy"", ""RPG"", ""Singleplayer"", ""Female Protagonist"", ""Third Person"", ""Spectacle fighter"", ""Hack and Slash"", ""3D"", ""Controller"", ""Magic"", ""Swordplay"", ""PvE"", ""Dragons"", ""Tutorial""]",54019,appreviews,A
964800,Prodeus,2022-09-23,24.99,"[""Boomer Shooter"", ""FPS"", ""Retro"", ""Gore"", ""Action"", ""Shooter"", ""Indie"", ""Violent"", ""Adventure"", ""First-Person"", ""Fast-Paced"", ""Pixel Graphics"", ""Great Soundtrack"", ""Sci-fi"", ""Singleplayer"", ""Casual"", ""Classic"", ""Level Editor"", ""Horror"", ""Arena Shooter""]",8164,appreviews,B
976890,Hidden Deep,2022-01-24,24.99,"[""Early Access"", ""Shooter"", ""Physics"", ""2D Platformer"", ""Action"", ""Aliens"", ""Horror"", ""Dark"", ""2D"", ""Thriller"", ""Mystery"", ""Puzzle"", ""Action-Adventure"", ""Multiplayer"", ""Co-op"", ""Mining"", ""Sci-fi"", ""Exploration"", ""Singleplayer"", ""Nostalgia""]",5052,appreviews,A
983870,FOUNDRY,2024-05-02,29.99,"[""Early Access"", ""Automation"", ""Base-Building"", ""Sandbox"", ""Resource Management"", ""Crafting"", ""Building"", ""Open World"", ""Robots"", ""Voxel"", ""Co-op"", ""Procedural Generation"", ""Multiplayer"", ""Online Co-Op"", ""Simulation"", ""First-Person"", ""Strategy"", ""Singleplayer"", ""Sci-fi"", ""Moddable""]",3890,appreviews,A
992300,嗜血印 Bloody Spell,2022-01-26,24.99,"[""Nudity"", ""Sexual Content"", ""Female Protagonist"", ""Action RPG"", ""Hack and Slash"", ""Action"", ""Martial Arts"", ""3D"", ""Open World"", ""Rogue-like"", ""Singleplayer"", ""Violent"", ""Rogue-lite"", ""Multiplayer"", ""RPG"", ""3D Vision"", ""Gore"", ""Online Co-Op"", ""Adventure"", ""Indie""]",38640,appreviews,A
997010,Police Simulator: Patrol Officers,2022-11-10,29.99,"[""Simulation"", ""Crime"", ""Open World"", ""Multiplayer"", ""Realistic"", ""Investigation"", ""Online Co-Op"", ""Immersive Sim"", ""Singleplayer"", ""America"", ""Co-op"", ""Third Person"", ""3D"", ""Exploration"", ""Automobile Sim"", ""Character Customization"", ""Choices Matter"", ""Education"", ""Early Access"", ""Female Protagonist""]",22406,appreviews,A
